x,y,class
604.6151489297987,94.2479658688827,0
636.8446406173559,78.96175643150778,0
617.0981961569677,129.28701833509285,0
612.4824300081515,127.42688043400506,0
614.719651140701,110.77402115812507,0
646.9203626601336,99.59112116596768,0
643.9457338536178,77.66583989589239,0
665.7466112928289,91.79553899726,0
625.6638515975433,98.30710640312749,0
639.9693355051778,112.01664306361046,0
669.2542850139068,106.5433076808934,0
669.193179739247,87.43703195956802,0
658.5907863702794,88.23037591396013,0
691.485724173534,83.11042930699108,0
650.2866385143348,88.14047258665438,0
690.9733247103804,120.06901954487122,0
683.9256981690098,97.60558541123062,0
660.2988013305682,133.8024934693167,0
662.6660563073115,89.26002638319979,0
670.0299714504488,96.5485209418973,0
666.5081632364914,84.42421886555209,0
695.007797887678,92.52822204972861,0
719.6210870642357,129.62989753816532,0
728.7034863925566,124.89374319979602,0
712.8202788367266,90.22477545066263,0
712.3510235109634,89.09445349344492,0
730.8952962823953,98.58839321680111,0
744.0603731779313,138.51440465955886,0
699.7900390768851,112.01858816725917,0
743.4252205930966,136.11415131616144,0
736.2857115758989,96.80912987469408,0
729.1438613882478,118.0021548477859,0
728.5301758769939,122.98103827497366,0
711.6863948568558,126.0811472662371,0
715.6735735969254,115.68626855177797,0
728.0886081559181,109.36457073271428,0
725.8554750577938,120.15721650067202,0
776.5884472588748,129.62496926027393,0
731.9207487116221,99.29268240807635,0
746.3934966090984,146.93242422701863,0
754.8771124290997,100.17613330249989,0
741.3832388620349,112.26978522262183,0
789.6481768725735,155.4807272478306,0
767.8441317616749,141.73234611492109,0
775.370979472451,102.58529057752013,0
789.827336099519,144.79691789773463,0
784.9809657276022,158.41934601102744,0
784.0430083682296,129.0058646704411,0
776.849823618781,124.2368452190111,0
789.9333806816722,133.4290261415811,0
759.8521557236909,133.49710985413532,0
774.9336514880836,141.95495043404986,0
799.9655571383023,142.79251614613565,0
822.8015332043831,150.57275144243232,0
774.1978144558369,132.60052966780444,0
788.2316906033528,123.20367416260754,0
798.8617229997402,159.6515101245589,0
805.2627394926615,128.63315914690213,0
815.9671770627766,151.29104880610123,0
799.158130059698,133.50848835522342,0
801.5782193115548,167.23916821169303,0
812.5588194655439,151.94006646787466,0
833.154602921202,164.01549336327133,0
849.8817973828266,134.31782343189215,0
797.8956407343863,178.17650884089352,0
845.0310674772232,147.97108724737222,0
809.9574442046038,186.96466867470951,0
824.4266479302124,172.81412082847635,0
824.0400502771543,180.51578651332036,0
820.6105604111914,161.59933080557948,0
822.5091461276038,186.61985581998084,0
858.8378751252532,157.65435836435918,0
860.3605523751644,189.68051903414295,0
821.1273900004625,186.6169437248514,0
869.4036627289644,174.74333191083676,0
817.8122170500266,188.68893535719826,0
865.5310632475401,156.871921340296,0
828.7047449453759,205.08024010019466,0
822.4268784583874,170.4519887619078,0
867.2200109865191,198.02831838923177,0
841.33126532978,170.84962274443834,0
842.4109078355093,217.8057647075038,0
849.0222168843745,207.12353291707046,0
879.1332779266542,207.2921149028291,0
836.3872710821353,219.80735716342048,0
859.5929657229603,201.3887244207862,0
857.2062465028363,180.44972407223315,0
872.3429430988473,193.65971130680077,0
883.5730301651968,179.90875046088993,0
857.6608186342802,183.28248231723666,0
874.8942238560777,208.72547258360015,0
905.0603120567587,228.2376397992839,0
889.6163510607107,224.68408811835536,0
894.3897196424089,218.8869871757065,0
889.5281136938703,189.19555493999297,0
851.2056734474572,232.28453628689564,0
877.8149533294641,223.3284774211055,0
891.7197119014642,233.87834814698692,0
898.3662330250199,218.2198928320406,0
870.3756731198584,252.67031492619918,0
877.6608581347707,254.8325992594745,0
903.1851530442395,221.0807679571065,0
909.2793531887698,243.57709701365854,0
917.3363560306282,212.56486549905185,0
878.9010046997622,224.59392278614717,0
891.3779299880456,241.8811059640173,0
909.7192351863546,247.09985291217836,0
891.8619003668961,257.7585296880733,0
879.0883510721042,262.12211719154664,0
910.7056454752707,243.46450932607334,0
890.9774342009155,237.4350651245505,0
896.6902460334273,234.60653007348145,0
906.505854238794,277.17876090623975,0
898.2589518818202,255.2903124269403,0
878.4205619190968,256.06636379093237,0
904.1216340233667,235.0208838184954,0
885.5038044651687,261.0509665691113,0
925.3211236922007,283.01327058268305,0
916.2035804420477,277.0946597196436,0
879.1480624143755,251.54371544439675,0
884.0167450223055,295.7087792702003,0
934.5890291357722,293.1656320289319,0
931.970828240816,259.18528678716405,0
936.7163676622077,300.14907326462384,0
918.4567876815127,268.1503180551931,0
912.8354341712611,276.15230684921244,0
918.5190454681164,299.7184716267059,0
920.7942389472012,285.69244990377797,0
925.8178042374851,305.6977741209653,0
912.0409068958745,279.4198271881999,0
920.1557679707015,310.08663349882704,0
915.7088070578111,326.1694706100142,0
934.1949596089618,312.7933844123771,0
926.8552024558761,307.65650258923984,0
933.9989851507505,322.6296903779837,0
913.7837980551486,282.49030830196614,0
897.8216412614996,330.78464799663027,0
937.6738079170943,333.98704464391375,0
910.7698997807418,307.2954114780585,0
932.5815501373345,304.5978675188852,0
925.9148650761568,310.9225195655415,0
931.4485429189891,357.13280154636055,0
897.3897051833504,330.66886804863543,0
942.7446494402514,344.46821974422915,0
909.4847799191817,346.4435457673277,0
926.0162797152221,319.3043657726687,0
942.7431213151932,347.86423068408,0
930.8815961767231,356.26658764466663,0
897.2553499784774,336.87221704504583,0
914.566411634478,338.39055409265836,0
934.008616903943,336.061538285798,0
927.4096742395225,363.16675395921345,0
928.4604483798992,379.935640268005,0
907.3342138058584,347.02895153496576,0
938.0665250325219,375.9806518874624,0
907.7213009610714,346.41799721366885,0
949.7783118720961,372.68883715756584,0
915.3672195016321,359.16609555352835,0
896.6283045932414,342.9832070702825,0
930.9398356614919,365.4327777483319,0
931.3051430061346,371.96911786100134,0
903.3050670586917,376.1634918583585,0
949.1500250514072,382.74437115018145,0
902.2766531436617,402.4537888262187,0
921.8491733349547,394.5052895455834,0
912.2708186271085,358.0413395606445,0
918.4289976002689,404.15291682744606,0
940.0753166153037,375.670955217795,0
897.1474525915642,376.2410527317305,0
943.9397052549251,361.5740991866306,0
907.8574924651446,379.2646356945461,0
914.5437600123579,421.68423317038224,0
900.4967057309285,399.91773074651246,0
933.2114035898813,384.44355082132705,0
936.5586769329755,406.56573241135635,0
940.6359696690001,389.2673781419596,0
895.8743827945733,427.14193069603107,0
934.7462724463436,421.9045870877525,0
937.5805183578308,405.97349637353653,0
913.7969850177068,407.34458132502726,0
923.4099714705945,397.6496845005016,0
925.9733546646602,429.92877262865346,0
918.7628080484725,429.34785360215324,0
930.3886339330202,427.8310714843241,0
926.6205164257624,416.41155914200476,0
902.233478256005,413.7020599847855,0
949.2619986205374,408.6273538536393,0
915.4010073874719,419.2268980522148,0
913.7039630581686,443.14520035830634,0
905.9458883009537,414.9530895636062,0
899.3997688886703,426.2465733656734,0
915.1699203224422,409.3660799569559,0
930.1306559274183,409.15965212520655,0
907.3785788318522,424.65079319389565,0
922.6779115139193,398.18370934066945,0
898.7642412623753,401.7582102031627,0
924.9479587037506,455.1380399869347,0
931.596704044113,430.13204510616566,0
906.6477624325041,414.17310334522745,0
900.3506699820372,405.54410592948574,0
915.1655768567687,411.10728445669275,0
943.0527861380806,450.23269369342904,0
943.9222523402692,448.3222521688216,0
900.7391326166633,433.3510351767628,0
907.2085724729072,465.57249207377725,0
902.9468901917863,452.3542507793951,0
898.9464024416537,439.29477770904424,0
947.6185387073281,461.4974829787581,0
897.7233485315376,454.9393227293383,0
931.0918954968423,469.05738758647027,0
942.8262721560704,423.75016293091375,0
943.6335606046954,434.58859620205203,0
914.3804175201025,434.3742947250812,0
939.7039206758922,470.7672913711247,0
933.0088424017283,463.3345183841094,0
906.2248266368015,449.8897339924057,0
906.5909340616089,454.8928309891023,0
939.558733547707,452.05536742427836,0
933.7227890760331,467.04746385805277,0
940.6115830650871,478.8050855074969,0
904.8782647464158,470.65253038164747,0
926.5181748545454,480.9052566001004,0
897.6678271292805,456.03428714984983,0
926.3091406027326,468.941733683891,0
927.100472173434,452.1236986951893,0
906.9408090120435,452.1029461560136,0
918.5767737487923,478.05396959190006,0
939.6783088368261,457.8872374472473,0
927.8840651181674,504.2922434024096,0
911.74029556633,491.91742519638694,0
944.3368284716606,511.60888065700914,0
942.2160875475762,487.75955082836794,0
904.1335201393822,467.26850627764185,0
931.3013250751723,472.62046723957513,0
930.6484484335613,507.93513243078644,0
911.4812729611193,471.4343187157867,0
919.3566741824765,501.59310220392825,0
939.5802414528016,495.0718572921404,0
893.3188530522025,519.18388789564,0
891.91635327092,526.874642004987,0
910.9148297816974,472.5075188612557,0
889.4474245505986,502.25273499315597,0
937.6237194937435,507.6417771702817,0
904.2605032321354,513.0643130168703,0
905.6260474371005,502.68624460769036,0
924.0712556250417,520.5408774257986,0
922.7785582008471,534.4854982769731,0
919.8184646377887,503.91472782364553,0
931.6279703348295,519.5093290380415,0
898.987722495427,506.3310400577041,0
884.2166772538696,494.36883011259044,0
885.3780485725728,496.54102861449195,0
904.2026330760133,499.7152551595241,0
